,input,label,predicted_label
0,1,1,other
1,2,2,other
2,3,Fizz,fizz
3,4,4,other
4,5,Buzz,buzz
5,6,Fizz,other
6,7,7,other
7,8,8,other
8,9,Fizz,fizz
9,10,Buzz,buzz
10,11,11,other
11,12,Fizz,fizz
12,13,13,other
13,14,14,other
14,15,FizzBuzz,other
15,16,16,other
16,17,17,other
17,18,Fizz,fizz
18,19,19,other
19,20,Buzz,other
20,21,Fizz,fizz
21,22,22,other
22,23,23,other
23,24,Fizz,fizz
24,25,Buzz,other
25,26,26,other
26,27,Fizz,other
27,28,28,other
28,29,29,other
29,30,FizzBuzz,fizzbuzz
30,31,31,other
31,32,32,other
32,33,Fizz,fizz
33,34,34,other
34,35,Buzz,buzz
35,36,Fizz,other
36,37,37,other
37,38,38,other
38,39,Fizz,other
39,40,Buzz,buzz
40,41,41,other
41,42,Fizz,fizz
42,43,43,other
43,44,44,other
44,45,FizzBuzz,fizzbuzz
45,46,46,other
46,47,47,other
47,48,Fizz,fizz
48,49,49,other
49,50,Buzz,buzz
50,51,Fizz,fizz
51,52,52,other
52,53,53,other
53,54,Fizz,other
54,55,Buzz,buzz
55,56,56,other
56,57,Fizz,fizz
57,58,58,other
58,59,59,other
59,60,FizzBuzz,fizzbuzz
60,61,61,other
61,62,62,other
62,63,Fizz,fizz
63,64,64,other
64,65,Buzz,other
65,66,Fizz,fizz
66,67,67,other
67,68,68,fizz
68,69,Fizz,fizz
69,70,Buzz,fizz
70,71,71,other
71,72,Fizz,fizz
72,73,73,other
73,74,74,other
74,75,FizzBuzz,fizzbuzz
75,76,76,fizz
76,77,77,other
77,78,Fizz,fizz
78,79,79,other
79,80,Buzz,other
80,81,Fizz,other
81,82,82,other
82,83,83,other
83,84,Fizz,fizz
84,85,Buzz,buzz
85,86,86,other
86,87,Fizz,fizz
87,88,88,other
88,89,89,other
89,90,FizzBuzz,fizzbuzz
90,91,91,other
91,92,92,other
92,93,Fizz,fizz
93,94,94,other
94,95,Buzz,buzz
95,96,Fizz,fizz
96,97,97,other
97,98,98,other
98,99,Fizz,fizz
99,100,Buzz,buzz
